,Bomba 1,,,,
Vazão (L/h),M1 (PSI),VC1 (mmHg),A1,W1,V1
0,0,-140,0,0,0
3600,0.625,-390,1.8,380,220
3400,2.5,-380,1.8,380,220
3200,5,-370,1.7,380,220
3000,7,-360,1.8,370,220
2800,9,-350,1.8,370,220
2600,10.5,-350,1.8,360,220
2400,12.5,-340,1.8,360,220
2200,13.5,-340,1.7,360,220
2000,15,-330,1.7,350,220
1800,16,-330,1.7,320,220
1600,17,-320,1.7,320,220
1400,18,-310,1.6,320,220
1200,19,-310,1.6,320,220
1000,20,-300,1.6,320,220
